,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
256,21/09/2022 20:31:13981800,,400.404,363.316,393.328,209.108,219.976.075,113,65535,65535
257,21/09/2022 20:31:14995800,,400.404,363.072,393.328,208.132,219.976.075,112,65535,65535
258,21/09/2022 20:31:15994200,,401.868,363.072,393.328,208.376,219.976.075,110,65535,65535
259,21/09/2022 20:31:16992600,,401.868,363.316,393.328,20.862,218.124.635,110,65535,65535
260,21/09/2022 20:31:18006600,,400.892,363.804,393.328,209.108,218.124.635,110,65535,65535
261,21/09/2022 20:31:18989400,,401.136,365.024,393.328,209.108,217.198.915,110,65535,65535
262,21/09/2022 20:31:20003400,,401.868,36.356,393.328,208.376,214.421.755,108,65535,65535
263,21/09/2022 20:31:29004600,,401.868,365.024,393.084,20.862,192.204.475,112,65535,65535
264,21/09/2022 20:31:30034200,,402.112,363.804,392.108,209.108,187.575.875,108,65535,65535
265,21/09/2022 20:31:36087000,,401.868,373.076,392.596,208.376,152.398.515,110,65535,65535
266,21/09/2022 20:31:37101000,,402.112,371.612,392.596,209.596,144.067.035,111,65535,65535
267,21/09/2022 20:31:43169400,,401.624,34.038,391.376,20.862,72.786.595,112,65535,65535
268,21/09/2022 20:31:44183400,,401.868,337.208,391.376,209.108,70.009.435,112,65535,65535
269,21/09/2022 20:31:45197400,,401.868,332.328,391.132,209.108,70.009.435,115,65535,65535
270,21/09/2022 20:31:46195800,,401.868,327.936,390.888,208.376,66.306.555,108,65535,65535
271,21/09/2022 20:31:47194200,,400.892,32.33,390.156,209.352,70.009.435,110,65535,65535
272,21/09/2022 20:31:48177000,,400.892,319.884,389.912,209.108,70.009.435,110,65535,65535
273,21/09/2022 20:31:49191000,,400.892,315.736,389.668,208.132,70.935.155,111,65535,65535
274,21/09/2022 20:31:50189400,,401.624,31.354,389.424,208.132,70.009.435,110,65535,65535
275,21/09/2022 20:31:51187800,,401.868,309.148,388.204,209.108,70.009.435,113,65535,65535
276,21/09/2022 20:31:52186200,,401.136,30.378,387.716,20.862,70.009.435,111,65535,65535
277,21/09/2022 20:31:53200200,,401.624,299.632,387.716,209.108,70.935.155,112,65535,65535
278,21/09/2022 20:31:59237400,,400.648,31.476,38.308,209.108,17.243.395,111,65535,65535
279,21/09/2022 20:32:00251400,,401.136,309.148,382.592,209.108,16.317.675,112,65535,65535
280,21/09/2022 20:32:01249800,,401.136,307.928,38.186,209.108,15.391.955,112,65535,65535
281,21/09/2022 20:32:02248200,,401.624,30.622,380.152,209.108,12.614.795,113,65535,65535
282,21/09/2022 20:32:03246600,,401.624,307.928,380.152,209.352,14.466.235,111,65535,65535
283,21/09/2022 20:32:04260600,,400.892,313.296,377.956,20.862,11.689.075,111,65535,65535
284,21/09/2022 20:32:05259000,,400.892,32.086,376.736,20.862,10.763.355,113,65535,65535
285,21/09/2022 20:32:06257400,,401.136,326.716,374.784,208.376,10.763.355,113,65535,65535
286,21/09/2022 20:32:07255800,,400.892,326.472,37.332,20.862,11.689.075,111,65535,65535
